label,input
drug reaction,I have a lot of pain in my chest and I feel really sick to my stomach. My chest has been hurting a lot lately and I've been really shaky and anxious.
malaria,"I've been feeling really sick. I have a high fever, chills, and a headache. I've also been vomiting and sweating a lot. I'm also really itchy and my muscles hurt."
bronchial asthma,I've been feeling really tired lately and have had this cough for a few days. It's getting harder to breathe and I'm coughing up a lot of phlegm. My fever is really high too.
malaria,"I've been experiencing a lot of itching, chills, vomiting, and a fever. I also have a headache and am sweating a lot. Additionally hurting me have been nausea and muscle aches."
chicken pox,I am feeling very sick. I have no appetite and I feel like vomiting. I have also noticed some red spots on my skin. I am worried about my health.
typhoid,"I've been having a lot of stomach pain and bloating, and I've been constipated. I also have a high fever and chills."
common cold,I've been feeling really tired and sick. I've had a bad cough and sore throat. I've been shivering and have a fever. I just feel really run down.
common cold,I've been feeling really tired and nauseous. I've had a really bad cough and my throat has been sore. I've had a lot of pressure in my sinuses and my nose is stuffy. I'm feeling really yucky and exhausted.
allergy,"I have asthma, and I get wheezing and breathing problems. I also have headaches and fevers. I'm always tired."
bronchial asthma,I've been having a lot of trouble breathing lately. I've been coughing up a lot of phlegm and my chest feels tight. I'm also feeling really tired and weak.
fungal infection,I have a rash on my arms and legs that is itchy and red. There are also some weird looking spots on my skin. Sometimes the bumps feel kind of hard.
fungal infection,I have a really itchy rash on my skin and there are some weird spots that are a different color. There are also some bumps on my skin that look like little knots. I think it might be a fungal infection.
bronchial asthma,"I'm having trouble breathing, and I'm coughing up a lot of mucus. I also have a fever and feel really weak and exhausted."
diabetes,I have mood swings and have trouble concentrating. My mind feels hazy and foggy at times and it gets difficult to do even regular chores. I also have a lot of thirst and I have to pee a lot.
fungal infection,"I have a lot of itchy spots on my skin. They're sometimes red or bumpy, and sometimes they're different colors than the rest of my skin. I also get these weird bumps that look like little balls."
urinary tract infection,"I've been having frequent urges to urinate, but when I go to the bathroom, I only pass a little bit of urine. It also hurts when I pee, and my urine is cloudy and has a strong smell. I've also been feeling nauseous and have been vomiting."
allergy,"I'm having trouble breathing and I feel like I'm getting out of breath easily. My face and chest are swollen, my eyes hurt, and I have a dry, hacking cough."
pneumonia,"I'm sweating a lot and can't catch my breath. I feel really sick, my throat is full of mucus, my heart is racing, and my chest hurts. I'm coughing up thick, rusty-colored mucus."
typhoid,"I'm feeling really weak. I've been having a lot of stomach pain and constipation, and I've been vomiting a lot. I can't eat anything because of the pain."
peptic ulcer disease,I have trouble swallowing food and it feels like food is getting stuck in my throat. I also feel bloated and belch a lot. I have a bad aftertaste every time I eat.
fungal infection,"I've been really itchy lately and there are these rashy spots all over my skin. There are also some areas that don't look like the normal color of my skin, and I've had some bumps that are kind of hard. I'm not sure what it is, but I'm worried about it."
common cold,I've been feeling really run down and weak. My throat is really sore and I've been coughing a lot. I've also been feeling really cold and have a fever.
migraine,"I've been having headaches, blurred vision, and stomach problems. I also have a stiff neck, depression, impatience, and visual disturbance."
jaundice,"I've been losing weight and feeling sick to my stomach. My skin is yellow, and I have a fever. My urine is dark, and my stomach hurts."
varicose veins,I have varicose veins in my legs. They are swollen and the blood vessels are more visible than usual. The swelling seems to be getting worse over time.
pneumonia,I'm having trouble breathing. I'm coughing up a lot of mucus. My chest hurts. I'm sweating a lot. I feel really sick.
fungal infection,"I have been having a lot of itching all over my body, and I have noticed some red, scaly patches on my skin. I also have some bumps that look like small nodules."
jaundice,I've been feeling really itchy and sick to my stomach. I've lost a lot of weight and I'm exhausted. My skin is yellow and I have a fever. My urine is dark and I've been having stomach pain.
